06/27/22 12:13:52 P:INFO:

06/27/22 12:13:52 P:INFO:====== WebDriver manager ======
06/27/22 12:13:52 P:INFO:Current google-chrome version is 103.0.5060
06/27/22 12:13:52 P:INFO:Get LATEST chromedriver version for 103.0.5060 google-chrome
06/27/22 12:13:55 P:INFO:There is no [mac64] chromedriver for browser 103.0.5060 in cache
06/27/22 12:13:55 P:INFO:Trying to download new driver from https://chromedriver.storage.googleapis.com/103.0.5060.53/chromedriver_mac64.zip
06/27/22 12:13:56 P:INFO:Driver has been saved in cache [/Users/ticvictech/.wdm/drivers/chromedriver/mac64/103.0.5060.53]
06/27/22 12:13:59 P:INFO:************ Launch the Browser **************
06/27/22 12:14:10 P:INFO:*************Home Page Title verification is passed *************
06/27/22 12:14:10 P:INFO:

06/27/22 12:14:10 P:INFO:====== WebDriver manager ======
06/27/22 12:14:10 P:INFO:Current google-chrome version is 103.0.5060
06/27/22 12:14:10 P:INFO:Get LATEST chromedriver version for 103.0.5060 google-chrome
06/27/22 12:14:10 P:INFO:Driver [/Users/ticvictech/.wdm/drivers/chromedriver/mac64/103.0.5060.53/chromedriver] found in cache
06/27/22 12:14:12 P:INFO:************ Launch the Browser **************
06/27/22 12:14:19 P:INFO:******* Enter the Username *******Infoquick
06/27/22 12:14:29 P:INFO:******* Enter the Password *******Infoquick@123
06/27/22 12:14:37 P:INFO:******* Click the Captcha checkbox *******
06/27/22 12:14:39 P:INFO:********** Click on Login button **************
06/27/22 12:14:49 P:INFO:************** Login Page URL Title verification Passed***************
06/27/22 01:22:44 P:INFO:

06/27/22 01:22:44 P:INFO:====== WebDriver manager ======
06/27/22 01:22:44 P:INFO:Current google-chrome version is 103.0.5060
06/27/22 01:22:44 P:INFO:Get LATEST chromedriver version for 103.0.5060 google-chrome
06/27/22 01:22:47 P:INFO:Driver [/Users/ticvictech/.wdm/drivers/chromedriver/mac64/103.0.5060.53/chromedriver] found in cache
06/27/22 01:22:49 P:INFO:************ Launch the Browser **************
06/27/22 01:23:00 P:INFO:************* Home Page Title verification is passed *************
06/27/22 01:23:00 P:INFO:

06/27/22 01:23:00 P:INFO:====== WebDriver manager ======
06/27/22 01:23:00 P:INFO:Current google-chrome version is 103.0.5060
06/27/22 01:23:00 P:INFO:Get LATEST chromedriver version for 103.0.5060 google-chrome
06/27/22 01:23:00 P:INFO:Driver [/Users/ticvictech/.wdm/drivers/chromedriver/mac64/103.0.5060.53/chromedriver] found in cache
06/27/22 01:23:02 P:INFO:************ Launch the Browser **************
06/27/22 01:23:09 P:INFO:******* Enter the Username *******Infoquick
06/27/22 01:23:19 P:INFO:******* Enter the Password *******Infoquick@123
06/27/22 01:23:27 P:INFO:******* Click the Captcha checkbox *******
06/27/22 01:23:29 P:INFO:********** Click on Login button **************
06/27/22 01:26:47 P:INFO:

06/27/22 01:26:47 P:INFO:====== WebDriver manager ======
06/27/22 01:26:48 P:INFO:Current google-chrome version is 103.0.5060
06/27/22 01:26:48 P:INFO:Get LATEST chromedriver version for 103.0.5060 google-chrome
